"Step","Attempt23 - Episode_Termination/base_contact","Attempt23 - Episode_Termination/base_contact__MIN","Attempt23 - Episode_Termination/base_contact__MAX"
"585","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"588","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"591","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"592","0","0","0"
"600","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"601","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"604","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"606","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"607","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"608","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"611","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"612","0.25","0.25","0.25"
"614","0.25","0.25","0.25"
"617","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"618","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"619","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"620","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"621","0.125","0.125","0.125"
"623","0.25","0.25","0.25"
"624","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"625","0.25","0.25","0.25"
"627","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"628","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"630","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"633","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"634","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"635","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"636","0.125","0.125","0.125"
"638","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"639","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"640","0.25","0.25","0.25"
"641","0.25","0.25","0.25"
"642","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"643","0","0","0"
"650","0.125","0.125","0.125"
"651","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"653","0.125","0.125","0.125"
"654","0.25","0.25","0.25"
"655","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"656","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"657","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"659","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"660","0","0","0"
"661","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"662","0.25","0.25","0.25"
"663","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"665","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"666","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"668","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"670","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"673","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"674","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"675","0.125","0.125","0.125"
"677","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"678","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"679","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"682","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"683","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"686","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"689","0.125","0.125","0.125"
"691","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"692","0","0","0"
"693","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"694","0.125","0.125","0.125"
"696","0.25","0.25","0.25"
"700","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"702","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"705","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"707","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"708","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"710","0.125","0.125","0.125"
"716","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"717","0.125","0.125","0.125"
"718","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"719","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"721","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"725","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"729","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"732","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"733","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"736","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"737","0.25","0.25","0.25"
"739","0.25","0.25","0.25"
"741","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"742","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"746","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"748","0.125","0.125","0.125"
"749","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"752","0.125","0.125","0.125"
"753","0.125","0.125","0.125"
"756","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"757","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"758","0.2916666865348816","0.2916666865348816","0.2916666865348816"
"760","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"761","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"762","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"764","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"768","0.25","0.25","0.25"
"769","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"770","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"771","0.125","0.125","0.125"
"778","0.125","0.125","0.125"
"779","0.125","0.125","0.125"
"780","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"781","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"784","0.125","0.125","0.125"
"785","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"787","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"788","0.3333333432674408","0.3333333432674408","0.3333333432674408"
"790","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"793","0.375","0.375","0.375"
"795","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"796","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"797","0","0","0"
"798","0.125","0.125","0.125"
"799","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"802","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"803","0.125","0.125","0.125"
"804","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"805","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"807","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"808","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"809","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"810","0.125","0.125","0.125"
"811","0.0416666679084301","0.0416666679084301","0.0416666679084301"
"814","0.1666666716337204","0.1666666716337204","0.1666666716337204"
"815","0.2083333432674408","0.2083333432674408","0.2083333432674408"
"817","0.0833333358168602","0.0833333358168602","0.0833333358168602"
"821","0.2916666865348816","0.2916666865348816","0.2916666865348816"
