"Step","Attempt23 - Episode_Reward/payload_2_target","Attempt23 - Episode_Reward/payload_2_target__MIN","Attempt23 - Episode_Reward/payload_2_target__MAX"
"679","6.906032085418701","6.906032085418701","6.906032085418701"
"681","7.18854284286499","7.18854284286499","7.18854284286499"
"683","7.046121120452881","7.046121120452881","7.046121120452881"
"684","7.117034912109375","7.117034912109375","7.117034912109375"
"685","6.784698486328125","6.784698486328125","6.784698486328125"
"686","7.13702392578125","7.13702392578125","7.13702392578125"
"687","7.243700981140137","7.243700981140137","7.243700981140137"
"689","7.106473445892334","7.106473445892334","7.106473445892334"
"690","7.24337911605835","7.24337911605835","7.24337911605835"
"692","7.259854793548584","7.259854793548584","7.259854793548584"
"694","7.39828634262085","7.39828634262085","7.39828634262085"
"695","7.284073829650879","7.284073829650879","7.284073829650879"
"697","7.1503095626831055","7.1503095626831055","7.1503095626831055"
"699","7.006577968597412","7.006577968597412","7.006577968597412"
"700","7.048885345458984","7.048885345458984","7.048885345458984"
"705","7.227726936340332","7.227726936340332","7.227726936340332"
"706","7.057194709777832","7.057194709777832","7.057194709777832"
"707","7.1221723556518555","7.1221723556518555","7.1221723556518555"
"708","6.912095546722412","6.912095546722412","6.912095546722412"
"709","7.279963493347168","7.279963493347168","7.279963493347168"
"713","7.259635925292969","7.259635925292969","7.259635925292969"
"715","7.307994365692139","7.307994365692139","7.307994365692139"
"717","7.025047302246094","7.025047302246094","7.025047302246094"
"719","7.07682991027832","7.07682991027832","7.07682991027832"
"723","7.394061088562012","7.394061088562012","7.394061088562012"
"731","7.2940826416015625","7.2940826416015625","7.2940826416015625"
"732","7.101701259613037","7.101701259613037","7.101701259613037"
"734","7.214415550231934","7.214415550231934","7.214415550231934"
"737","6.930449485778809","6.930449485778809","6.930449485778809"
"740","7.041314601898193","7.041314601898193","7.041314601898193"
"745","7.3562445640563965","7.3562445640563965","7.3562445640563965"
"751","7.2984442710876465","7.2984442710876465","7.2984442710876465"
"753","7.181719779968262","7.181719779968262","7.181719779968262"
"754","7.081772804260254","7.081772804260254","7.081772804260254"
"755","7.528457164764404","7.528457164764404","7.528457164764404"
"757","7.205796718597412","7.205796718597412","7.205796718597412"
"759","6.600874900817871","6.600874900817871","6.600874900817871"
"761","7.218454360961914","7.218454360961914","7.218454360961914"
"764","7.189906120300293","7.189906120300293","7.189906120300293"
"765","7.478675842285156","7.478675842285156","7.478675842285156"
"766","7.0042619705200195","7.0042619705200195","7.0042619705200195"
"767","6.86514949798584","6.86514949798584","6.86514949798584"
"769","6.951595306396484","6.951595306396484","6.951595306396484"
"774","7.241783142089844","7.241783142089844","7.241783142089844"
"776","7.192587852478027","7.192587852478027","7.192587852478027"
"777","7.33054256439209","7.33054256439209","7.33054256439209"
"779","7.176046371459961","7.176046371459961","7.176046371459961"
"781","7.2297468185424805","7.2297468185424805","7.2297468185424805"
"785","7.154447555541992","7.154447555541992","7.154447555541992"
"786","7.388064861297607","7.388064861297607","7.388064861297607"
"787","7.523040294647217","7.523040294647217","7.523040294647217"
"788","6.897973537445068","6.897973537445068","6.897973537445068"
"793","6.894072532653809","6.894072532653809","6.894072532653809"
"796","7.146166801452637","7.146166801452637","7.146166801452637"
"798","7.271449089050293","7.271449089050293","7.271449089050293"
"799","7.312684535980225","7.312684535980225","7.312684535980225"
"802","7.2456793785095215","7.2456793785095215","7.2456793785095215"
"803","6.9806060791015625","6.9806060791015625","6.9806060791015625"
"806","7.213494300842285","7.213494300842285","7.213494300842285"
"807","7.139171600341797","7.139171600341797","7.139171600341797"
"809","7.29115104675293","7.29115104675293","7.29115104675293"
"812","7.022060394287109","7.022060394287109","7.022060394287109"
"813","7.229963302612305","7.229963302612305","7.229963302612305"
"814","6.879855155944824","6.879855155944824","6.879855155944824"
"815","7.162919521331787","7.162919521331787","7.162919521331787"
"817","7.19073486328125","7.19073486328125","7.19073486328125"
"821","6.882323741912842","6.882323741912842","6.882323741912842"
"827","7.366466045379639","7.366466045379639","7.366466045379639"
"829","7.04660177230835","7.04660177230835","7.04660177230835"
"830","7.048951148986816","7.048951148986816","7.048951148986816"
"831","7.306447982788086","7.306447982788086","7.306447982788086"
"832","6.929632186889648","6.929632186889648","6.929632186889648"
"833","7.218422889709473","7.218422889709473","7.218422889709473"
"834","6.57401180267334","6.57401180267334","6.57401180267334"
"835","7.234869003295898","7.234869003295898","7.234869003295898"
"837","7.272956848144531","7.272956848144531","7.272956848144531"
"838","7.068849086761475","7.068849086761475","7.068849086761475"
"839","6.917428970336914","6.917428970336914","6.917428970336914"
"840","7.268950462341309","7.268950462341309","7.268950462341309"
"843","7.300174236297607","7.300174236297607","7.300174236297607"
