"Step","exponentialNoMovement - Metrics/targetPosition/error_heading","exponentialNoMovement - Metrics/targetPosition/error_heading__MIN","exponentialNoMovement - Metrics/targetPosition/error_heading__MAX"
"295","1.5480985641479492","1.5480985641479492","1.5480985641479492"
"296","1.254032015800476","1.254032015800476","1.254032015800476"
"297","1.294832706451416","1.294832706451416","1.294832706451416"
"298","1.298475742340088","1.298475742340088","1.298475742340088"
"299","1.4368550777435303","1.4368550777435303","1.4368550777435303"
"300","1.4627374410629272","1.4627374410629272","1.4627374410629272"
"301","1.4765212535858154","1.4765212535858154","1.4765212535858154"
"302","1.3409183025360107","1.3409183025360107","1.3409183025360107"
"303","1.3519319295883179","1.3519319295883179","1.3519319295883179"
"304","1.4957239627838135","1.4957239627838135","1.4957239627838135"
"305","1.4388909339904785","1.4388909339904785","1.4388909339904785"
"306","1.3740556240081787","1.3740556240081787","1.3740556240081787"
"307","1.5324920415878296","1.5324920415878296","1.5324920415878296"
"308","1.3666043281555176","1.3666043281555176","1.3666043281555176"
"309","1.3622488975524902","1.3622488975524902","1.3622488975524902"
"310","1.4021222591400146","1.4021222591400146","1.4021222591400146"
"311","1.2724530696868896","1.2724530696868896","1.2724530696868896"
"312","1.298598289489746","1.298598289489746","1.298598289489746"
"313","1.5069024562835693","1.5069024562835693","1.5069024562835693"
"314","1.476029396057129","1.476029396057129","1.476029396057129"
"315","1.3654987812042236","1.3654987812042236","1.3654987812042236"
"316","1.3837428092956543","1.3837428092956543","1.3837428092956543"
"317","1.2675527334213257","1.2675527334213257","1.2675527334213257"
"318","1.277848243713379","1.277848243713379","1.277848243713379"
"319","1.316148281097412","1.316148281097412","1.316148281097412"
"320","1.4827971458435059","1.4827971458435059","1.4827971458435059"
"321","1.4509475231170654","1.4509475231170654","1.4509475231170654"
"322","1.677962064743042","1.677962064743042","1.677962064743042"
"323","1.2154829502105713","1.2154829502105713","1.2154829502105713"
"324","1.5569140911102295","1.5569140911102295","1.5569140911102295"
"325","1.2923458814620972","1.2923458814620972","1.2923458814620972"
"326","1.6003388166427612","1.6003388166427612","1.6003388166427612"
"327","1.414914846420288","1.414914846420288","1.414914846420288"
